Items,CyberThreat_Danger,CyberThreat_FirewallSecurity,CyberThreat_KnownWebsites,CyberThreat_Risk4Individual,CyberThreat_OnInfrastructure,CyberThreat_GERPreparedness,CyberThreat_SelfDefense,CyberThreat_Uninformed,CyberThreat_Ignorance,CyberThreat_Education,CyberThreat_Helpless,CyberThreat_InformationSource,CyberThreat_CyberWar,CyberThreat_FearCyberWar,CyberThreat_GERCounterAttack,CyberThreat_LEACompetence,CyberThreat_LEAInsecurity,CyberThreat_CyberCrimeJustice
PastInfo_MicroBlog,0.0803,-0.0944,0.0,0.0,0.0,0.1867,0.1568,0.0,0.0,0.116,0.0,0.167,0.1026,0.1271,0.1288,0.1126,0.1521,0.2113
PastInfo_Multimedia,0.0,-0.0677,0.0,0.0,0.0,0.088,0.1449,0.0,0.0,0.1758,0.0,0.1462,0.0769,0.0767,0.0,0.0848,0.1359,0.1463
PastInfo_SocialMedia,0.0,0.0,0.069,0.0,0.0,0.1954,0.1234,0.0,0.0,0.1045,0.0,0.0875,0.0,0.0722,0.0713,0.1502,0.1699,0.1781
PastInfo_Messenger,0.0766,0.0,0.1124,0.0621,0.0,0.1767,0.1157,0.0,0.0,0.133,0.0,0.1136,0.0,0.0922,0.1069,0.1448,0.153,0.1358
PastInfo_Newsletter,0.0692,0.0,0.1002,0.1077,0.0,0.1217,0.0997,0.0,-0.0839,0.0889,-0.0674,0.1686,0.0728,0.1002,0.1193,0.1167,0.0997,0.1284
PastInfo_Podcast,0.1151,-0.0634,0.0,0.0,0.0,0.1433,0.1327,0.0,-0.0765,0.1161,0.0,0.1774,0.1074,0.1167,0.1168,0.1196,0.1243,0.1803
PastInfo_WarningApps,0.0942,0.0718,0.0906,0.0696,0.0,0.1393,0.1337,0.0,-0.0941,0.1004,0.0,0.1661,0.1017,0.1004,0.0813,0.0968,0.0,0.1022
PastInfo_InstalledSoftware,0.1361,0.3017,0.1106,0.1773,0.1028,0.0,0.1549,-0.0816,-0.1412,0.0898,-0.1036,0.1914,0.11,0.0794,0.1038,0.0,0.0,0.0
FutureInfo_School,0.0,-0.0881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_Fam,0.0,-0.0771,0.0,0.0,0.0,0.0602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_Press,0.0,0.0,0.0,0.0,0.0,0.0,-0.0707,0.0,0.1172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_Publication,0.0,0.0,0.0,0.0,0.0619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_TV,0.0,0.0,0.0,0.0,0.0,0.0,-0.0835,0.0,0.0989,0.0,0.0821,-0.0823,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_Radio,0.0,0.0,0.0,0.0,0.0,0.0,-0.0982,0.0,0.0826,0.0,0.0,-0.0927,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_SecAgencySites,0.0,0.0,0.0,0.0,0.0,0.0674,0.0682,0.0,-0.0898,0.0,-0.0702,0.1224,0.0669,0.0,0.0,0.0,0.0,0.0851
FutureInfo_SecNewSites,0.0,0.068,0.0,0.0,0.0,0.0,0.1039,0.0,-0.094,0.0,-0.1256,0.1441,0.0632,0.0,0.0,0.0,0.0,0.0
FutureInfo_SoftwareSites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0813,0.0,0.0,0.0786,0.0,0.0,0.0,0.0,0.0
FutureInfo_SecSoftwareSites,0.0,0.1482,0.0,0.0,0.0,0.0,0.0595,-0.0968,-0.0928,0.0,0.0,0.0801,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_Blog,0.0,-0.0667,0.0,0.0,0.0,0.0,0.0,0.0,0.0609,0.0,0.0634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_MicroBlog,0.0,0.0,0.0,0.0,0.0,0.0,0.0662,0.0,0.0,0.0,0.0,0.0,0.0,0.0662,0.0,0.0,0.0,0.0
FutureInfo_Multimedia,-0.0685,-0.1327,-0.0964,0.0,-0.0638,0.0,0.0,0.0,0.0,0.0795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_SocialMedia,-0.0897,-0.0895,0.0,-0.07,-0.0691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779,0.0,0.0
FutureInfo_Messenger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0596,0.0
FutureInfo_Newsletter,0.0,0.0,0.0597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_Podcast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FutureInfo_WarningApps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1008,-0.0961
FutureInfo_InstalledSoftware,0.0,0.1434,0.0,0.065,0.0615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RelInfo_CurrentSpamCampaigns,0.1646,0.1922,0.097,0.2105,0.1626,0.0,0.0791,0.0,0.0,0.1885,0.0,0.0759,0.1614,0.1433,0.0972,0.0,0.0,0.0
RelInfo_NewMalware,0.1354,0.2483,0.0749,0.2544,0.2019,-0.1043,0.0766,0.0,0.0,0.1722,0.0,0.0,0.185,0.1214,0.0,-0.0739,0.0,-0.0674
RelInfo_SecGap,0.151,0.2622,0.1283,0.2265,0.2321,-0.1113,0.0,0.0,0.0,0.2237,0.0,0.0,0.1977,0.1198,0.0,-0.0599,0.0,-0.0895
RelInfo_ImportantUpdate,0.1086,0.303,0.1125,0.1934,0.1425,-0.0979,0.0,0.0,0.0,0.154,0.0,0.0,0.151,0.0691,0.0,0.0,-0.0779,-0.1211
RelInfo_DataBreakdown,0.1264,0.2349,0.1292,0.2159,0.2096,-0.1002,0.0,0.0,0.0,0.1841,0.0,0.0,0.1726,0.1219,0.0831,0.0,0.0,-0.0854
RelInfo_BestPractice,0.166,0.1811,0.1359,0.156,0.1284,0.0,0.0,0.0,0.0,0.2207,0.0,0.0,0.1329,0.1605,0.1006,0.0,0.0,0.0
RelInfo_SecBanking,0.0763,0.2354,0.087,0.1609,0.1476,-0.1399,0.0,0.0688,0.0825,0.1392,0.0,0.0,0.1043,0.0,0.0,-0.1063,0.0,-0.1592
RelInfo_SecShopping,0.0738,0.2182,0.1136,0.1498,0.1378,-0.0903,0.0,0.0767,0.0921,0.1419,0.0,0.0,0.0897,0.0685,0.0,0.0,0.0,-0.0946
RelInfo_SecAccounts,0.1033,0.2468,0.1414,0.2007,0.1468,-0.102,0.0,0.0948,0.0828,0.193,0.0,0.0,0.1103,0.1022,0.0,0.0,0.0,-0.0912
RelInfo_SecHomeNetwork,0.089,0.2344,0.1444,0.154,0.1278,0.0,0.0,0.0,0.0,0.1814,0.0,0.0,0.1044,0.0864,0.0,0.0,0.0,-0.0826
RelInfo_SecSmartHome,0.1192,0.1165,0.0876,0.0771,0.0727,0.0,0.0,0.0,0.0,0.1689,0.0,0.0,0.0911,0.087,0.0667,0.0,0.0644,0.0
RelInfo_SecEmail,0.1534,0.2635,0.1773,0.1921,0.1666,0.0,0.0,0.1177,0.0631,0.1838,0.0,0.0,0.1047,0.102,0.0,0.0,0.0614,-0.0648
RelInfo_SecSocialMedia,0.0852,0.1406,0.0938,0.1303,0.0993,0.0,0.0,0.0896,0.1138,0.1952,0.0658,0.0,0.0973,0.086,0.0,0.0,0.0,0.0
RelInfo_SecPublicWifi,0.1394,0.2363,0.1595,0.1976,0.1731,0.0,0.0,0.0963,0.081,0.1689,0.0,0.0,0.0974,0.097,0.0,0.0,0.0,0.0
RelInfo_SecDevice,0.1117,0.2737,0.1374,0.2038,0.1415,-0.0918,0.0,0.0763,0.0627,0.1834,0.0,0.0,0.0909,0.0,0.0,-0.0596,0.0,-0.0819
RelInfo_Checklist,0.1254,0.1923,0.1373,0.229,0.1529,0.0,0.0,0.1164,0.0828,0.2463,0.0,0.0,0.1519,0.1135,0.0,0.0,0.0,0.0
RelInfo_Tutorial,0.1299,0.2044,0.1057,0.2149,0.1625,-0.0936,0.0,0.1398,0.1062,0.2245,0.0928,0.0,0.1128,0.0701,0.0,0.0,0.0,-0.0977
RelInfo_TechSupport,0.1384,0.2308,0.1564,0.2259,0.1904,-0.0629,0.0,0.1399,0.1328,0.2411,0.0773,0.0,0.1634,0.082,0.0,0.0,0.0,-0.0857
RelInfo_RecHelp,0.1699,0.2183,0.1673,0.2073,0.1469,0.0,0.0,0.1188,0.1169,0.2188,0.1185,0.0,0.1402,0.1447,0.0819,0.0,0.0,0.0
