Antwort ID,Datum Abgeschickt,Letzte Seite,Start-Sprache,Zufallsgeneratorstartwert,Datum gestartet,Datum letzte Aktivität,Bitte geben Sie Ihr Alter an:,Bitte geben Sie Ihr Geschlecht an:,Bitte geben Sie Ihren höchsten Bildungsabschluss an:,Bitte geben Sie Ihren höchsten Bildungsabschluss an: [Sonstiges],Falls Sie gerade an einer Hochschule studieren: Für welches Studienfach sind Sie immatrikuliert?,Was verbirgt sich hinter dem Begriff „Browserverlauf“?  Im Browserverlauf werden ... ,"Was ist ein ""Cookie""?",Was versteht man unter dem Begriff „Cache“?,"Was versteht man unter einem „Trojaner“?   Ein Trojaner ist ein Computerprogramm, dass ... ",Was ist eine „Firewall“? ,Die EU-Richtlinien zum Datenschutz ...,Informationelle Selbstbestimmung ist ...," [Die National Security Agency (NSA) greift nur auf Nutzerdaten zu, die öffentlich und für jedermann zugänglich sind.]"," [Betreiber sozialer Netzwerke (z.B. Facebook) sammeln und verarbeiten auch Informationen von Personen, die dieses Netzwerk gar nicht nutzen.]"," [Daten, die Betreiber sozialer Netzwerke (z.B. Facebook) über die Nutzer sammeln, werden nach 5 Jahren gelöscht.]"," [Unternehmen kombinieren Daten, die auf verschiedenen Websites im Internet hinterlassen werden und stellen daraus Nutzerprofile zusammen.]"," [E-Mails werden häufig über mehrere Rechner weitergeleitet, bevor sie bei ihrem eigentlichen Empfänger ankommen.]", [Die Weiterleitung anonymisierter Nutzerdaten zu Marktforschungszwecken ist in der EU gesetzlich erlaubt.], [Für alle sozialen Netzwerkseiten gelten in Deutschland die gleichen Standard-AGBs. Abweichungen müssen von den Betreibern kenntlich gemacht werden.]," [Laut dem deutschen Gesetz haben Nutzer von Online-Anwendungen, die personenbezogene Daten erheben und verarbeiten, einen Anspruch darauf, die über sie gespeicherten Daten einzusehen.]"," [Das Nachverfolgen der eigenen Internetnutzung kann durch das regelmäßige Löschen von Browserinformationen (Cookies, Cache, Browserverlauf) erschwert werden.]"," [Durch das Surfen im „Private Browsing“-Modus kann die Rekonstruktion des eigenen Surfverhaltens erschwert werden, da keine Browserinformationen gespeichert werden.]", [Durch die Nutzung von falschen Namen oder Pseudonymen kann die Identifikation der eigenen Person im Internet zumindest erschwert werden.]," [Auch wenn selbst schwere Passwörter von IT-Profis geknackt werden können, ist es sinnvoll Passwörter zu verwenden, die aus einer Kombination aus Buchstaben, Zahlen und Sonderzeichen bestehen und keine Wörter, Namen oder einfache Zahlenkombinationen enthalten.]"," [Um den Zugang zu eigenen Daten zu erschweren, sollte man verschiedene Passwörter und Benutzernamen für unterschiedliche Anwendungen nutzen und diese häufig ändern.]",Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Hausärzte],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Fachärzte],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Rechtsanwälte/Gerichte],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Seelsorger],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Versicherungen],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Kundenservice Online-Shop],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Geistliche],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Sozialarbeiter],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Vorgesetzter],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Kollegen],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Freunde],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Familie],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Vorname],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Nachname],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Wohnadresse],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [E-Mail-Adresse],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [IBAN],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [PayPal-Konto],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Rechnungsadresse (beim Online-Shopping)],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Kundennummer (beim Kundensupport)],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Mobilnummer],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Festnetznummer],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Social-Media-Accounts],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Social-Media-Accounts von Freunden (Freunde werben für Vorteile)]
31,2023-07-14 14:06:56,3,de,920621362,2023-07-14 14:01:28,2023-07-14 14:06:56,19,männlich,Abitur,,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...die zentrale Forderung datenverarbeitender Stellen.,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Unsicher,Ja,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr wichtig,Neutral,Neutral,Neutral,Eher wichtig,Eher wichtig,Eher unwichtig,Neutral,Eher wichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben
32,2023-07-17 14:08:08,3,de,1547865729,2023-07-17 14:01:08,2023-07-17 14:08:08,20,männlich,Realschulabschluss,,Bachelor Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...gelten als länderübergreifendes Datenschutzgesetz.,...ein Grundrecht deutscher Bürger.,Ja,Ja,Nein,Ja,Ja,Unsicher,Nein,Ja,Ja,Ja,Unsicher,Ja,Nein,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Neutral,Neutral,Neutral,weitergeben,weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
33,2023-07-17 15:10:27,3,de,2001532109,2023-07-17 15:03:01,2023-07-17 15:10:27,17,männlich,Abitur,,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",,,Nein,Unsicher,Nein,Unsicher,Ja,Unsicher,Unsicher,Ja,Ja,Nein,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr wichtig,Sehr unwichtig,Neutral,Neutral,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben
34,2023-07-18 14:13:01,3,de,186785677,2023-07-18 14:02:25,2023-07-18 14:13:00,24,männlich,Fachabitur,,Informatik Bachelor,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...die zentrale Forderung datenverarbeitender Stellen.,Nein,Ja,Unsicher,Ja,Ja,Ja,Ja,Ja,Unsicher,Unsicher,Unsicher,Ja,Ja,Eher wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr unwichtig,Sehr unwichtig,Sehr wichtig,,Eher wichtig,Neutral,Neutral,Sehr wichtig,weitergeben,weitergeben,weitergeben,weitergeben,nicht weitergeben,weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,,
35,2023-07-18 15:15:42,3,de,2015862933,2023-07-18 15:06:34,2023-07-18 15:15:42,23,männlich,Abitur,,B.Sc. Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Unsicher,Ja,Unsicher,Unsicher,Nein,Ja,Unsicher,Ja,Nein,Nein,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,nicht weitergeben,,nicht weitergeben,nicht weitergeben
36,2023-07-18 16:06:43,3,de,1899452018,2023-07-18 15:59:54,2023-07-18 16:06:43,19,weiblich,Abitur,,Wirtschaftsinformatik,...die Adressen der besuchten Websites gespeichert.,"Ein Programm, mit dem man die Datenspeicherung von Webanbietern unterbinden kann.","Ein Programm, welches Daten auf eine externe Festplatte kopiert, um diese vor Datenklau zu schützen.",...den Rechner vor Viren und anderen Schadprogrammen schützt.,"Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...existieren bisher noch nicht.,...ein Grundrecht deutscher Bürger.,Unsicher,Ja,,Nein,Ja,Unsicher,Ja,Unsicher,Ja,Ja,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher unwichtig,Eher unwichtig,Neutral,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben
37,2023-07-19 13:58:36,3,de,583212498,2023-07-19 13:50:35,2023-07-19 13:58:36,42,männlich,Abitur,,Joint Bachelor Informatik/Geschichte,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...die zentrale Forderung datenverarbeitender Stellen.,Nein,Unsicher,Nein,Ja,Ja,Ja,Unsicher,Ja,Ja,Ja,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Neutral,Sehr wichtig,Eher wichtig,Neutral,Neutral,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
38,2023-07-19 15:00:36,3,de,477177364,2023-07-19 14:52:43,2023-07-19 15:00:36,23,männlich,Abitur,,Wirtschaftsinformatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Browser-Plugin, das sicheres Surfen ermöglicht.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...die zentrale Aufgabe des Bundesdatenschutzbeauftragten.,Nein,Nein,Nein,Ja,Ja,Unsicher,Nein,Ja,Ja,Nein,Nein,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr unwichtig,Sehr unwichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben
39,2023-07-19 16:05:44,3,de,2004332730,2023-07-19 15:58:38,2023-07-19 16:05:44,21,männlich,Abitur,,,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als Computervirus in den 90ern Schaden anrichtete, heute aber nicht mehr existiert.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",,...ein Grundrecht deutscher Bürger.,Nein,Ja,Unsicher,Ja,Unsicher,Unsicher,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Neutral,Sehr wichtig,Neutral,Eher wichtig,Sehr wichtig,Sehr wichtig,Neutral,Neutral,Sehr wichtig,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben
40,2023-07-20 15:04:52,3,de,2066178785,2023-07-20 14:58:14,2023-07-20 15:04:52,19,männlich,Abitur,,Wirtschaftsinformatik,...die Adressen der besuchten Websites gespeichert.,"Ein Browser-Plugin, das sicheres Surfen gewährleistet.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...geben den EU-Ländern lediglich eine unverbindliche Orientierung hinsichtlich ihrer Datenschutzgesetze.,...die zentrale Forderung datenverarbeitender Stellen.,Nein,Nein,Unsicher,Ja,Unsicher,Unsicher,Unsicher,Ja,Unsicher,Unsicher,Ja,Ja,Ja,Eher unwichtig,Eher unwichtig,Eher wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Neutral,Neutral,Eher wichtig,Neutral,Eher unwichtig,Eher unwichtig,weitergeben,weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,weitergeben,weitergeben
41,2023-07-20 16:08:54,3,de,1996859767,2023-07-20 15:56:58,2023-07-20 16:08:54,20,weiblich,Abitur,,Informatik B. sc.,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als Computervirus in den 90ern Schaden anrichtete, heute aber nicht mehr existiert.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Unsicher,Nein,Ja,Unsicher,Ja,Ja,Ja,Unsicher,Nein,Nein,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,,
42,2023-08-10 17:33:47,3,de,1899492839,2023-08-10 17:26:03,2023-08-10 17:33:47,32,weiblich,Hochschulstudium (Master),,,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...die zentrale Forderung datenverarbeitender Stellen.,Nein,Nein,Nein,Ja,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
